,Location URL,Stone Refernced,Minerals Recorded,Location Name,Rock Types,Climate,Decimal Coordinates,Minerals,Latitude,Longitude,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,F,Fe,Ga,Gd,Ge,H,Hf,Hg,I,In,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,Os,P,Pb,Pd,Pr,Pt,Rb,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Yb,Zn,Zr,Group_Label
20,https://www.mindat.org//loc-260746.html,Amethyst Lapis Lazuli Amethyst Unakite,,", Bergheim, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France,i,Schlusselstein, Bergheim, Colmar-Ribeauvillé,Arrondissement, Haut-Rhin,Department, Grand Est,Region, France,Country,",,2,"48.21278,7.32750",Valid Species Ba Fe O S Si,48.21278,7.3275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,https://www.mindat.org//loc-15717.html,Amethyst Lapis Lazuli Amethyst Smoky Quartz Smoky Quartz Unakite,,", Köditz, Hof, Upper Franconia, Bavaria, Germany,i,Siebenhitz,Village, Köditz,Municipality, Hof,District, Upper Franconia,Administrative District, Bavaria,State, Germany,Country,",,2,"50.35806,11.83472",Valid Species Al As Ba Bi C Ca Co Cu F Fe H K Mn O P S Si,50.35806,11.83472,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,https://www.mindat.org//loc-255880.html,Amethyst Lapis Lazuli Amethyst Unakite,,", Idar-Oberstein, Birkenfeld District, Rhineland-Palatinate, Germany,i,Setz Quarry,Quarry, Idar-Oberstein,Town, Birkenfeld District,District, Rhineland-Palatinate,State, Germany,Country,",,2,"49.73139,7.28750",Al Ba C Ca Fe H K Na O Si,49.73139,7.2875,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,https://www.mindat.org//loc-67987.html,Amethyst Lapis Lazuli Amethyst Unakite,,", Schierke, Wernigerode, Harz, Saxony-Anhalt, Germany,i,Quarry at the Stern,Quarry, Schierke, Wernigerode, Harz, Saxony-Anhalt,State, Germany,Country,",,2,"51.75881,10.67922",O Si,51.75881,10.67922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,https://www.mindat.org//loc-309472.html,Amethyst Lapis Lazuli Amethyst Unakite,,", Kielberg, Klingenthal, Vogtlandkreis, Saxony, Germany,i,Maischacht Mine,Mine, Kielberg,Mountain, Klingenthal,Municipality, Vogtlandkreis,District, Saxony,State, Germany,Country,",,2,"50.40619,12.45518",As Ba Bi C Co Fe H Ni O S Si,50.40619,12.45518,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,https://www.mindat.org//loc-28984.html,Amethyst Apatite Lapis Lazuli Lepidolite Amethyst Smoky Quartz Smoky Quartz Unakite Zircon,,", Rahuri, Ahmednagar District, Maharashtra, India,i,Gunjale,Village, Rahuri,Taluk, Ahmednagar District,District, Maharashtra,State, India,Country,",,6,"19.13333,74.80000",Al C Ca F H K Na O Si,19.13333,74.8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,https://www.mindat.org//loc-38562.html,Amethyst Azurite Lapis Lazuli Amethyst Unakite,,", Cinto Euganeo, Euganean Hills (Euganei Hills), Padova Province, Veneto, Italy,i,Monte Cinto,Complex, Cinto Euganeo, Euganean Hills (Euganei Hills),Hills, Padova Province,Province, Veneto,Region, Italy,Country,",Peralkalinealkalifeldspargranite,5,"45.27861,11.65361",Al Ca Ce Cl F Fe H Mg Na Nb O S Si Ta Th Ti U Zr,45.27861,11.65361,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1
27,https://www.mindat.org//loc-156156.html,Amethyst Lapis Lazuli Amethyst Spinel Unakite,,", Komatsu City, Ishikawa Prefecture, Japan,i,Ogoya mine,Mine, Komatsu City,City, Ishikawa Prefecture,Prefecture, Japan,Country,",,1,"36.29306,136.59167",Ag Al Au Ba C Ca Cl Cu Fe H Mn O P Pb S Si Zn,36.29306,136.59167,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
28,https://www.mindat.org//loc-19386.html,Amethyst Lapis Lazuli Amethyst Unakite,Copper Gold Mercury Silver Tungsten Zinc,", Saucillo Municipality, Chihuahua, Mexico,i,Naica, Saucillo Municipality,Municipality, Chihuahua,State, Mexico,Country,",Basanite,7,"27.85000,-105.50000",Ag Al As Au Ba Bi C Ca Cl Cu F Fe H Hg K Li Mg Mn Mo N Na Ni O P Pb S Sb Si Sn Sr Te Ti W Zn,27.85,-104.5,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1
29,https://www.mindat.org//loc-157974.html,Amethyst Lapis Lazuli Amethyst Smoky Quartz Smoky Quartz Unakite,Fluorite Fluorspar,", Melaab Caïdat, Goulmima Cercle, Errachidia Province, Drâa-Tafilalet Region, Morocco,i,Touroug-El Hamda Quarries (Lhamda Mine),Quarries, Melaab Caïdat,Caïdat, Goulmima Cercle,Cercle, Errachidia Province,Province, Drâa-Tafilalet Region,Region, Morocco,Country,",,8,"31.51139,-4.60611",Ba Ca F Fe O S Si,31.51139,-3.39389,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
